Year,Fatal/non-fatal,Sex,Nationality,Value
2002,non-fatal,Male,Foreign,29
2003,non-fatal,Male,Foreign,83
2004,non-fatal,Male,Foreign,479
2005,non-fatal,Male,Foreign,378
2006,non-fatal,Male,Foreign,466
2007,non-fatal,Male,Foreign,559
2008,non-fatal,Male,Foreign,336
2009,non-fatal,Male,Foreign,126
2010,non-fatal,Male,Foreign,97
2011,non-fatal,Male,Foreign,114
2012,non-fatal,Male,Foreign,127
2013,non-fatal,Male,Foreign,183
2014,non-fatal,Male,Foreign,184
2015,non-fatal,Male,Foreign,180
2016,non-fatal,Male,Foreign,254
2017,non-fatal,Male,Foreign,318
2018,non-fatal,Male,Foreign,382
2019,non-fatal,Male,Foreign,376
2020,non-fatal,Male,Foreign,287
2021,non-fatal,Male,Foreign,315
2022,non-fatal,Male,Foreign,400
1980,non-fatal,Female,Foreign,0
1981,non-fatal,Female,Foreign,0
1982,non-fatal,Female,Foreign,0
1983,non-fatal,Female,Foreign,0
1984,non-fatal,Female,Foreign,0
1985,non-fatal,Female,Foreign,3
1986,non-fatal,Female,Foreign,2
1987,non-fatal,Female,Foreign,3
1988,non-fatal,Female,Foreign,4
1989,non-fatal,Female,Foreign,4
1990,non-fatal,Female,Foreign,6
1991,non-fatal,Female,Foreign,5
1992,non-fatal,Female,Foreign,1
1993,non-fatal,Female,Foreign,2
1994,non-fatal,Female,Foreign,2
1995,non-fatal,Female,Foreign,4
1996,non-fatal,Female,Foreign,6
1997,non-fatal,Female,Foreign,10
1998,non-fatal,Female,Foreign,8
1999,non-fatal,Female,Foreign,15
2000,non-fatal,Female,Foreign,4
2001,non-fatal,Female,Foreign,16
2002,non-fatal,Female,Foreign,16
2003,non-fatal,Female,Foreign,18
2004,non-fatal,Female,Foreign,27
2005,non-fatal,Female,Foreign,34
2006,non-fatal,Female,Foreign,42
2007,non-fatal,Female,Foreign,72
2008,non-fatal,Female,Foreign,75
2009,non-fatal,Female,Foreign,53
2010,non-fatal,Female,Foreign,56
2011,non-fatal,Female,Foreign,57
2012,non-fatal,Female,Foreign,59
2013,non-fatal,Female,Foreign,67
2014,non-fatal,Female,Foreign,93
2015,non-fatal,Female,Foreign,109
2016,non-fatal,Female,Foreign,114
2017,non-fatal,Female,Foreign,116
2018,non-fatal,Female,Foreign,167
2019,non-fatal,Female,Foreign,179
2020,non-fatal,Female,Foreign,114
2021,non-fatal,Female,Foreign,152
2022,non-fatal,Female,Foreign,184
1980,non-fatal,Both,Foreign,0
1981,non-fatal,Both,Foreign,0
1982,non-fatal,Both,Foreign,0
1983,non-fatal,Both,Foreign,0
1984,non-fatal,Both,Foreign,4
1985,non-fatal,Both,Foreign,8
1986,non-fatal,Both,Foreign,7
1987,non-fatal,Both,Foreign,9
1988,non-fatal,Both,Foreign,14
1989,non-fatal,Both,Foreign,12
1990,non-fatal,Both,Foreign,21
1991,non-fatal,Both,Foreign,17
1992,non-fatal,Both,Foreign,11
1993,non-fatal,Both,Foreign,6
1994,non-fatal,Both,Foreign,8
1995,non-fatal,Both,Foreign,11
1996,non-fatal,Both,Foreign,18
1997,non-fatal,Both,Foreign,20
1998,non-fatal,Both,Foreign,21
1999,non-fatal,Both,Foreign,39
2000,non-fatal,Both,Foreign,51
2001,non-fatal,Both,Foreign,49
2002,non-fatal,Both,Foreign,45
2003,non-fatal,Both,Foreign,101
2004,non-fatal,Both,Foreign,506
2005,non-fatal,Both,Foreign,412
2006,non-fatal,Both,Foreign,508
2007,non-fatal,Both,Foreign,631
2008,non-fatal,Both,Foreign,411
2009,non-fatal,Both,Foreign,179
2010,non-fatal,Both,Foreign,153
2011,non-fatal,Both,Foreign,171
2012,non-fatal,Both,Foreign,186
2013,non-fatal,Both,Foreign,250
2014,non-fatal,Both,Foreign,277
2015,non-fatal,Both,Foreign,289
2016,non-fatal,Both,Foreign,368
2017,non-fatal,Both,Foreign,434
2018,non-fatal,Both,Foreign,549
2019,non-fatal,Both,Foreign,555
2020,non-fatal,Both,Foreign,401
2021,non-fatal,Both,Foreign,466
2022,non-fatal,Both,Foreign,585
