Year,Value
2001,0.49
2002,0.46
2003,0.53
2004,0.58
2005,0.68
2006,0.51
2007,0.56
2008,0.36
2009,0.41
2010,0.36
2011,0.36
2012,0.37
2013,0.37
2014,0.38
2015,0.37
2016,0.38
2017,0.47
2018,0.43
2019,0.36
2020,0.33
2021,0.32
