Year,Value,Units
2014,0.12,Tonne per capita
2015,0.12,Tonne per capita
2016,0.14,Tonne per capita
2017,0.09,Tonne per capita
2018,0.08,Tonne per capita
2019,0.11,Tonne per capita
2020,0.11,Tonne per capita
