Year,Connection type,Value
2012,256 kbit/s to less than 2 Mbit/s,0.761
2013,256 kbit/s to less than 2 Mbit/s,0.3679
2014,256 kbit/s to less than 2 Mbit/s,0.1907
2015,256 kbit/s to less than 2 Mbit/s,0.0732
2016,256 kbit/s to less than 2 Mbit/s,0.1245
2017,256 kbit/s to less than 2 Mbit/s,0.0641
2018,256 kbit/s to less than 2 Mbit/s,0.0456
2019,256 kbit/s to less than 2 Mbit/s,0.0
2020,256 kbit/s to less than 2 Mbit/s,0.0
2021,256 kbit/s to less than 2 Mbit/s,0.0
2022,256 kbit/s to less than 2 Mbit/s,0.0
2012,2 Mbit/s to less than 10 Mbit/s,0.880231558
2013,2 Mbit/s to less than 10 Mbit/s,0.694407765
2014,2 Mbit/s to less than 10 Mbit/s,0.992719647
2015,2 Mbit/s to less than 10 Mbit/s,0.312367062
2016,2 Mbit/s to less than 10 Mbit/s,0.264337847
2017,2 Mbit/s to less than 10 Mbit/s,0.148071961
2018,2 Mbit/s to less than 10 Mbit/s,0.076912039
2019,2 Mbit/s to less than 10 Mbit/s,0.087397161
2020,2 Mbit/s to less than 10 Mbit/s,0.059318822
2021,2 Mbit/s to less than 10 Mbit/s,0.029013645
2022,2 Mbit/s to less than 10 Mbit/s,0.032956986
2012,Equal to or above 10 Mbit/s,33.84964406
2013,Equal to or above 10 Mbit/s,35.43436992
2014,Equal to or above 10 Mbit/s,35.55520756
2015,Equal to or above 10 Mbit/s,37.42540261
2016,Equal to or above 10 Mbit/s,38.11096175
2017,Equal to or above 10 Mbit/s,39.26596502
2018,Equal to or above 10 Mbit/s,39.06701105
2019,Equal to or above 10 Mbit/s,38.91666737
2020,Equal to or above 10 Mbit/s,38.32435312
2021,Equal to or above 10 Mbit/s,37.86985618
2022,Equal to or above 10 Mbit/s,37.11488167
