Year,Atvinnugrein,Uppspretta,Bókhald,Value
1997,H - Flutningur og geymsla,,Eurostat - AEA,597.02
1998,H - Flutningur og geymsla,,Eurostat - AEA,632.88
1999,H - Flutningur og geymsla,,Eurostat - AEA,748.91
2000,H - Flutningur og geymsla,,Eurostat - AEA,843.76
2001,H - Flutningur og geymsla,,Eurostat - AEA,705.64
2002,H - Flutningur og geymsla,,Eurostat - AEA,636.13
2003,H - Flutningur og geymsla,,Eurostat - AEA,904.63
2004,H - Flutningur og geymsla,,Eurostat - AEA,964.46
2005,H - Flutningur og geymsla,,Eurostat - AEA,995.79
2006,H - Flutningur og geymsla,,Eurostat - AEA,1053.84
2007,H - Flutningur og geymsla,,Eurostat - AEA,1068.9
2008,H - Flutningur og geymsla,,Eurostat - AEA,1063.98
2009,H - Flutningur og geymsla,,Eurostat - AEA,851.22
2010,H - Flutningur og geymsla,,Eurostat - AEA,948.36
2011,H - Flutningur og geymsla,,Eurostat - AEA,971.01
2012,H - Flutningur og geymsla,,Eurostat - AEA,1087.62
2013,H - Flutningur og geymsla,,Eurostat - AEA,1389.17
2014,H - Flutningur og geymsla,,Eurostat - AEA,1427.36
2015,H - Flutningur og geymsla,,Eurostat - AEA,1936.88
2016,H - Flutningur og geymsla,,Eurostat - AEA,2407.83
2017,H - Flutningur og geymsla,,Eurostat - AEA,2806.3
2018,H - Flutningur og geymsla,,Eurostat - AEA,4337.69
2019,H - Flutningur og geymsla,,Eurostat - AEA,2845.51
2020,H - Flutningur og geymsla,,Eurostat - AEA,1046.02
2021,H - Flutningur og geymsla,,Eurostat - AEA,997.19
2022,H - Flutningur og geymsla,,Eurostat - AEA,1869.46
1995,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,1.94
1996,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,1.89
1997,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,1.98
1998,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.04
1999,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.13
2000,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.16
2001,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.18
2002,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.21
2003,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.37
2004,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.49
2005,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,1.75
2006,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.5
2007,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.27
2008,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.65
2009,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.88
2010,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.97
2011,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,2.86
2012,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,3.29
2013,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,3.51
2014,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,3.87
2015,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,4.38
2016,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,4.79
2017,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,5.4
2018,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,5.59
2019,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,5.81
2020,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,4.99
2021,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,5.1
2022,I - Rekstur gististaða og veitingarekstur,,Eurostat - AEA,5.4
1995,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.42
1996,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.38
1997,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.47
1998,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.54
1999,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.64
2000,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.67
2001,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.69
2002,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.73
2003,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.9
2004,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.04
2005,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.99
2006,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.87
2007,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.84
2008,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.4
2009,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.3
2010,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.1
2011,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.93
2012,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.96
2013,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.35
2014,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.19
2015,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.05
2016,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.09
2017,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.25
2018,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.57
2019,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.3
2020,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.64
2021,J - Upplýsingar og fjarskipti,,Eurostat - AEA,2.85
2022,J - Upplýsingar og fjarskipti,,Eurostat - AEA,3.08
1995,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,102.29
1996,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,100.76
1997,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,104.53
1998,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,107.41
1999,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,111.38
2000,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,111.98
2001,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,112.94
2002,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,114.4
2003,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,120.89
2004,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,126.49
2005,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,72.37
2006,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,142.61
2007,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,156.64
2008,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,169.59
2009,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,166.8
2010,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,155.41
2011,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,136.16
2012,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,114.67
2013,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,103.52
2014,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,88.81
2015,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,77.06
2016,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,65.43
2017,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,56.65
2018,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,48.57
2019,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,39.88
2020,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,35.28
2021,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,30.93
2022,K - Fjármála og vátryggingastarfsemi,,Eurostat - AEA,3.35
1995,L - Fasteignaviðskipti,,Eurostat - AEA,2.43
1996,L - Fasteignaviðskipti,,Eurostat - AEA,2.32
1997,L - Fasteignaviðskipti,,Eurostat - AEA,2.5
1998,L - Fasteignaviðskipti,,Eurostat - AEA,2.56
1999,L - Fasteignaviðskipti,,Eurostat - AEA,2.71
2000,L - Fasteignaviðskipti,,Eurostat - AEA,2.78
2001,L - Fasteignaviðskipti,,Eurostat - AEA,2.81
2002,L - Fasteignaviðskipti,,Eurostat - AEA,2.85
2003,L - Fasteignaviðskipti,,Eurostat - AEA,3.14
2004,L - Fasteignaviðskipti,,Eurostat - AEA,3.33
2005,L - Fasteignaviðskipti,,Eurostat - AEA,3.3
2006,L - Fasteignaviðskipti,,Eurostat - AEA,4.55
2007,L - Fasteignaviðskipti,,Eurostat - AEA,4.86
2008,L - Fasteignaviðskipti,,Eurostat - AEA,3.36
2009,L - Fasteignaviðskipti,,Eurostat - AEA,3.85
2010,L - Fasteignaviðskipti,,Eurostat - AEA,3.53
2011,L - Fasteignaviðskipti,,Eurostat - AEA,3.68
2012,L - Fasteignaviðskipti,,Eurostat - AEA,3.65
2013,L - Fasteignaviðskipti,,Eurostat - AEA,3.52
2014,L - Fasteignaviðskipti,,Eurostat - AEA,4.28
2015,L - Fasteignaviðskipti,,Eurostat - AEA,4.57
2016,L - Fasteignaviðskipti,,Eurostat - AEA,6.1
2017,L - Fasteignaviðskipti,,Eurostat - AEA,6.98
2018,L - Fasteignaviðskipti,,Eurostat - AEA,7.51
2019,L - Fasteignaviðskipti,,Eurostat - AEA,7.1
2020,L - Fasteignaviðskipti,,Eurostat - AEA,6.13
2021,L - Fasteignaviðskipti,,Eurostat - AEA,6.33
2022,L - Fasteignaviðskipti,,Eurostat - AEA,6.46
1995,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,3.73
1996,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,3.61
1997,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,3.82
1998,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,3.93
1999,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.12
2000,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.19
2001,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.23
2002,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.29
2003,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.64
2004,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.9
2005,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.42
2006,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,7.55
2007,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,6.38
2008,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.46
2009,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.43
2010,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.07
2011,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.57
2012,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.82
2013,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.72
2014,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.77
2015,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.95
2016,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.42
2017,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.63
2018,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.97
2019,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.39
2020,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,4.83
2021,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.63
2022,"M - Sérfræðileg, vísindaleg og tæknileg starfsemi",,Eurostat - AEA,5.19
1995,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,6.32
1996,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,5.6
1997,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,6.53
1998,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,6.69
1999,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,7.31
2000,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,7.78
2001,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,7.89
2002,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,8.06
2003,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,9.48
2004,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,10.22
2005,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,7.74
2006,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,13.54
2007,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,15.2
2008,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,15.94
2009,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,17.03
2010,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,15.79
2011,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,14.51
2012,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,14.66
2013,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,15.63
2014,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,17.04
2015,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,19.19
2016,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,24.28
2017,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,28.28
2018,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,31.32
2019,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,32.85
2020,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,29.95
2021,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,30.4
2022,N - Leigustarfsemi og ýmis sérhæfð þjónusta,,Eurostat - AEA,34.78
1995,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.13
1996,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,2.86
1997,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.23
1998,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.31
1999,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.57
2000,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.74
2001,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.79
2002,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,3.86
2003,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,4.42
2004,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,4.74
2005,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,4.86
2006,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,5.32
2007,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.02
2008,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,5.96
2009,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.41
2010,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.25
2011,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,5.95
2012,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.39
2013,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.3
2014,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,6.18
2015,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,7.04
2016,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,7.29
2017,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,7.05
2018,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,12.07
2019,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,8.66
2020,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,7.33
2021,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,7.46
2022,O - Opinber stjórnsýsla og varnarmál; almannatryggingar,,Eurostat - AEA,18.34
1995,P - Fræðslustarfsemi,,Eurostat - AEA,0.44
1996,P - Fræðslustarfsemi,,Eurostat - AEA,0.42
1997,P - Fræðslustarfsemi,,Eurostat - AEA,0.45
1998,P - Fræðslustarfsemi,,Eurostat - AEA,0.46
1999,P - Fræðslustarfsemi,,Eurostat - AEA,0.49
2000,P - Fræðslustarfsemi,,Eurostat - AEA,0.5
2001,P - Fræðslustarfsemi,,Eurostat - AEA,0.51
2002,P - Fræðslustarfsemi,,Eurostat - AEA,0.52
2003,P - Fræðslustarfsemi,,Eurostat - AEA,0.57
2004,P - Fræðslustarfsemi,,Eurostat - AEA,0.6
2005,P - Fræðslustarfsemi,,Eurostat - AEA,0.41
2006,P - Fræðslustarfsemi,,Eurostat - AEA,0.54
2007,P - Fræðslustarfsemi,,Eurostat - AEA,0.59
2008,P - Fræðslustarfsemi,,Eurostat - AEA,0.68
2009,P - Fræðslustarfsemi,,Eurostat - AEA,0.8
2010,P - Fræðslustarfsemi,,Eurostat - AEA,1.0
2011,P - Fræðslustarfsemi,,Eurostat - AEA,0.84
2012,P - Fræðslustarfsemi,,Eurostat - AEA,0.93
2013,P - Fræðslustarfsemi,,Eurostat - AEA,0.92
2014,P - Fræðslustarfsemi,,Eurostat - AEA,0.93
2015,P - Fræðslustarfsemi,,Eurostat - AEA,0.88
2016,P - Fræðslustarfsemi,,Eurostat - AEA,1.03
2017,P - Fræðslustarfsemi,,Eurostat - AEA,0.91
2018,P - Fræðslustarfsemi,,Eurostat - AEA,1.16
2019,P - Fræðslustarfsemi,,Eurostat - AEA,1.03
2020,P - Fræðslustarfsemi,,Eurostat - AEA,1.04
2021,P - Fræðslustarfsemi,,Eurostat - AEA,1.33
2022,P - Fræðslustarfsemi,,Eurostat - AEA,1.22
1995,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.51
1996,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.45
1997,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.55
1998,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.59
1999,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.68
2000,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.71
2001,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.73
2002,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.76
2003,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.92
2004,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.03
2005,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,1.81
2006,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.58
2007,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.25
2008,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.3
2009,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.4
2010,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.36
2011,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.46
2012,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.5
2013,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.37
2014,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.38
2015,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.56
2016,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.49
2017,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.31
2018,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.46
2019,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.25
2020,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.35
2021,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.26
2022,Q - Heilbrigðis og félagsþjónusta,,Eurostat - AEA,2.18
1995,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,0.91
1996,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,0.88
1997,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,0.93
1998,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,0.95
1999,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,1.0
2000,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,1.02
2001,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,1.03
2002,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,1.04
2003,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.75
2004,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,7.88
2005,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,7.02
2006,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.25
2007,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,5.33
2008,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.53
2009,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,5.02
2010,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.69
2011,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.73
2012,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,4.12
2013,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,4.36
2014,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,6.42
2015,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.21
2016,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,2.4
2017,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,2.23
2018,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,2.68
2019,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,4.33
2020,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,3.64
2021,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,2.92
2022,"R - Menningar, íþrjótta og tómstundastarfsemi",,Eurostat - AEA,2.61
1995,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.08
1996,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.05
1997,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.11
1998,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.14
1999,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.19
2000,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.2
2001,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.21
2002,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.23
2003,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.32
2004,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.38
2005,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.15
2006,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.52
2007,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.44
2008,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.47
2009,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.63
2010,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.68
2011,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.57
2012,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.52
2013,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.56
2014,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.52
2015,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.74
2016,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.87
2017,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.72
2018,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.8
2019,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.84
2020,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.5
2021,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.53
2022,S - Félagasamtök og önnur þjónustustarfsemi,,Eurostat - AEA,1.67
1995,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.16
1996,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.16
1997,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.16
1998,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.17
1999,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.18
2000,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.18
2001,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.18
2002,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.18
2003,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.2
2004,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.21
2005,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.22
2006,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.2
2007,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.26
2008,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.25
2009,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.22
2010,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.26
2011,U - Starfsemi stofnana og samtaka með úrlendisrétt,,Eurostat - AEA,0.23
