Year,Kyn,Atvinnugrein,Value
2015,Karl,Heilbrigðis- og félagsþjónusta (Q),2850
2016,Karl,Heilbrigðis- og félagsþjónusta (Q),3250
2017,Karl,Heilbrigðis- og félagsþjónusta (Q),3450
2018,Karl,Heilbrigðis- og félagsþjónusta (Q),3530
2019,Karl,Heilbrigðis- og félagsþjónusta (Q),3520
2020,Karl,Heilbrigðis- og félagsþjónusta (Q),3750
2021,Karl,Heilbrigðis- og félagsþjónusta (Q),4180
2022,Karl,Heilbrigðis- og félagsþjónusta (Q),4480
2008,Kona,Heilbrigðis- og félagsþjónusta (Q),1740
2009,Kona,Heilbrigðis- og félagsþjónusta (Q),1800
2010,Kona,Heilbrigðis- og félagsþjónusta (Q),1850
2011,Kona,Heilbrigðis- og félagsþjónusta (Q),1950
2012,Kona,Heilbrigðis- og félagsþjónusta (Q),1990
2013,Kona,Heilbrigðis- og félagsþjónusta (Q),2100
2014,Kona,Heilbrigðis- og félagsþjónusta (Q),2330
2015,Kona,Heilbrigðis- og félagsþjónusta (Q),2490
2016,Kona,Heilbrigðis- og félagsþjónusta (Q),2830
2017,Kona,Heilbrigðis- og félagsþjónusta (Q),2990
2018,Kona,Heilbrigðis- og félagsþjónusta (Q),3170
2019,Kona,Heilbrigðis- og félagsþjónusta (Q),3180
2020,Kona,Heilbrigðis- og félagsþjónusta (Q),3530
2021,Kona,Heilbrigðis- og félagsþjónusta (Q),3980
2022,Kona,Heilbrigðis- og félagsþjónusta (Q),4260
2008,Karl,Stjórnendur (1),3970
2009,Karl,Stjórnendur (1),3910
2010,Karl,Stjórnendur (1),4000
2011,Karl,Stjórnendur (1),4270
2012,Karl,Stjórnendur (1),4460
2013,Karl,Stjórnendur (1),4980
2014,Karl,Stjórnendur (1),5180
2015,Karl,Stjórnendur (1),5520
2016,Karl,Stjórnendur (1),6160
2017,Karl,Stjórnendur (1),6630
2018,Karl,Stjórnendur (1),6660
2019,Karl,Stjórnendur (1),6810
2020,Karl,Stjórnendur (1),7130
2021,Karl,Stjórnendur (1),7540
2022,Karl,Stjórnendur (1),7960
2008,Kona,Stjórnendur (1),2770
2009,Kona,Stjórnendur (1),2920
2010,Kona,Stjórnendur (1),3040
2011,Kona,Stjórnendur (1),3240
2012,Kona,Stjórnendur (1),3430
2013,Kona,Stjórnendur (1),3680
2014,Kona,Stjórnendur (1),4040
2015,Kona,Stjórnendur (1),4320
2016,Kona,Stjórnendur (1),4870
2017,Kona,Stjórnendur (1),5250
2018,Kona,Stjórnendur (1),5270
2019,Kona,Stjórnendur (1),5440
2020,Kona,Stjórnendur (1),5880
2021,Kona,Stjórnendur (1),6360
2022,Kona,Stjórnendur (1),6770
2008,Karl,Sérfræðingar (2),2800
2009,Karl,Sérfræðingar (2),2720
2010,Karl,Sérfræðingar (2),2800
2011,Karl,Sérfræðingar (2),2970
2012,Karl,Sérfræðingar (2),3130
2013,Karl,Sérfræðingar (2),3330
2014,Karl,Sérfræðingar (2),3490
2015,Karl,Sérfræðingar (2),3760
2016,Karl,Sérfræðingar (2),4120
2017,Karl,Sérfræðingar (2),4340
2018,Karl,Sérfræðingar (2),4590
2019,Karl,Sérfræðingar (2),4650
2020,Karl,Sérfræðingar (2),4820
2021,Karl,Sérfræðingar (2),5140
2022,Karl,Sérfræðingar (2),5440
2008,Kona,Sérfræðingar (2),2150
2009,Kona,Sérfræðingar (2),2170
2010,Kona,Sérfræðingar (2),2220
2011,Kona,Sérfræðingar (2),2330
2012,Kona,Sérfræðingar (2),2410
2013,Kona,Sérfræðingar (2),2570
2014,Kona,Sérfræðingar (2),2820
2015,Kona,Sérfræðingar (2),3040
2016,Kona,Sérfræðingar (2),3320
2017,Kona,Sérfræðingar (2),3520
2018,Kona,Sérfræðingar (2),3760
2019,Kona,Sérfræðingar (2),3790
2020,Kona,Sérfræðingar (2),4030
2021,Kona,Sérfræðingar (2),4380
2022,Kona,Sérfræðingar (2),4660
2008,Karl,Tæknar og sérmenntað starfsfólk (3),2430
2009,Karl,Tæknar og sérmenntað starfsfólk (3),2450
2010,Karl,Tæknar og sérmenntað starfsfólk (3),2550
2011,Karl,Tæknar og sérmenntað starfsfólk (3),2780
2012,Karl,Tæknar og sérmenntað starfsfólk (3),2910
2013,Karl,Tæknar og sérmenntað starfsfólk (3),3050
2014,Karl,Tæknar og sérmenntað starfsfólk (3),3250
2015,Karl,Tæknar og sérmenntað starfsfólk (3),3430
2016,Karl,Tæknar og sérmenntað starfsfólk (3),3820
2017,Karl,Tæknar og sérmenntað starfsfólk (3),4120
2018,Karl,Tæknar og sérmenntað starfsfólk (3),4190
2019,Karl,Tæknar og sérmenntað starfsfólk (3),4380
2020,Karl,Tæknar og sérmenntað starfsfólk (3),4500
2021,Karl,Tæknar og sérmenntað starfsfólk (3),4870
2022,Karl,Tæknar og sérmenntað starfsfólk (3),5160
2008,Kona,Tæknar og sérmenntað starfsfólk (3),1740
2009,Kona,Tæknar og sérmenntað starfsfólk (3),1800
2010,Kona,Tæknar og sérmenntað starfsfólk (3),1890
2011,Kona,Tæknar og sérmenntað starfsfólk (3),2040
2012,Kona,Tæknar og sérmenntað starfsfólk (3),2110
2013,Kona,Tæknar og sérmenntað starfsfólk (3),2220
2014,Kona,Tæknar og sérmenntað starfsfólk (3),2340
2015,Kona,Tæknar og sérmenntað starfsfólk (3),2490
2016,Kona,Tæknar og sérmenntað starfsfólk (3),2770
2017,Kona,Tæknar og sérmenntað starfsfólk (3),3000
2018,Kona,Tæknar og sérmenntað starfsfólk (3),3190
2019,Kona,Tæknar og sérmenntað starfsfólk (3),3250
2020,Kona,Tæknar og sérmenntað starfsfólk (3),3490
2021,Kona,Tæknar og sérmenntað starfsfólk (3),3790
2022,Kona,Tæknar og sérmenntað starfsfólk (3),4100
2008,Karl,Skrifstofufólk (4),1960
2009,Karl,Skrifstofufólk (4),2010
2010,Karl,Skrifstofufólk (4),2120
2011,Karl,Skrifstofufólk (4),2260
2012,Karl,Skrifstofufólk (4),2380
2013,Karl,Skrifstofufólk (4),2490
2014,Karl,Skrifstofufólk (4),2440
2015,Karl,Skrifstofufólk (4),2510
2016,Karl,Skrifstofufólk (4),2540
2017,Karl,Skrifstofufólk (4),2750
2018,Karl,Skrifstofufólk (4),2900
2019,Karl,Skrifstofufólk (4),2960
2020,Karl,Skrifstofufólk (4),3230
2021,Karl,Skrifstofufólk (4),3560
2022,Karl,Skrifstofufólk (4),3650
2008,Kona,Skrifstofufólk (4),1620
2009,Kona,Skrifstofufólk (4),1690
2010,Kona,Skrifstofufólk (4),1800
2011,Kona,Skrifstofufólk (4),1890
2012,Kona,Skrifstofufólk (4),2020
2013,Kona,Skrifstofufólk (4),2130
2014,Kona,Skrifstofufólk (4),2220
2015,Kona,Skrifstofufólk (4),2360
2016,Kona,Skrifstofufólk (4),2540
2017,Kona,Skrifstofufólk (4),2740
2018,Kona,Skrifstofufólk (4),2910
2019,Kona,Skrifstofufólk (4),2970
2020,Kona,Skrifstofufólk (4),3260
2021,Kona,Skrifstofufólk (4),3500
2022,Kona,Skrifstofufólk (4),3670
2008,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1440
2009,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1560
2010,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1660
2011,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1780
2012,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1840
2013,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1960
2014,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2040
2015,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2190
2016,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2460
2017,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2600
2018,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2610
2019,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2710
2020,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2990
2021,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",3240
2022,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",3420
2008,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1200
2009,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1310
2010,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1410
2011,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1500
2012,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1570
2013,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1650
2014,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1760
2015,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1850
2016,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2100
2017,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2230
2018,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2280
2019,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2370
2020,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2650
2021,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2880
2022,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",3120
2008,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),1840
2009,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),1840
2010,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2010
2011,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2200
2012,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2260
2013,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2380
2014,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2450
2015,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2710
2016,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2910
2017,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3130
2018,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3300
2019,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3370
2020,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3710
2021,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3870
2022,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),4190
2008,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1300
2009,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1320
2010,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1520
2011,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1760
2012,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1500
2013,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1750
2014,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1860
2015,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2060
2016,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2300
2017,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2470
2018,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2510
2019,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2660
2020,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2890
2021,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),3030
2022,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),3250
2008,Karl,Ósérhæft starfsfólk (9),1350
2009,Karl,Ósérhæft starfsfólk (9),1390
2010,Karl,Ósérhæft starfsfólk (9),1490
2011,Karl,Ósérhæft starfsfólk (9),1580
2012,Karl,Ósérhæft starfsfólk (9),1710
2013,Karl,Ósérhæft starfsfólk (9),1740
2014,Karl,Ósérhæft starfsfólk (9),1860
2015,Karl,Ósérhæft starfsfólk (9),2010
2016,Karl,Ósérhæft starfsfólk (9),2200
2017,Karl,Ósérhæft starfsfólk (9),2320
2018,Karl,Ósérhæft starfsfólk (9),2360
2019,Karl,Ósérhæft starfsfólk (9),2480
2020,Karl,Ósérhæft starfsfólk (9),2730
2021,Karl,Ósérhæft starfsfólk (9),2810
2022,Karl,Ósérhæft starfsfólk (9),3120
2008,Kona,Ósérhæft starfsfólk (9),1140
2009,Kona,Ósérhæft starfsfólk (9),1230
2010,Kona,Ósérhæft starfsfólk (9),1320
2011,Kona,Ósérhæft starfsfólk (9),1400
2012,Kona,Ósérhæft starfsfólk (9),1510
2013,Kona,Ósérhæft starfsfólk (9),1570
2014,Kona,Ósérhæft starfsfólk (9),1710
2015,Kona,Ósérhæft starfsfólk (9),1790
2016,Kona,Ósérhæft starfsfólk (9),2030
2017,Kona,Ósérhæft starfsfólk (9),2130
2018,Kona,Ósérhæft starfsfólk (9),2140
2019,Kona,Ósérhæft starfsfólk (9),2260
2020,Kona,Ósérhæft starfsfólk (9),2540
2021,Kona,Ósérhæft starfsfólk (9),2630
2022,Kona,Ósérhæft starfsfólk (9),2860
2008,Karl,Verkafólk,1480
2009,Karl,Verkafólk,1520
2010,Karl,Verkafólk,1650
2011,Karl,Verkafólk,1810
2012,Karl,Verkafólk,1850
2013,Karl,Verkafólk,1950
2014,Karl,Verkafólk,2020
2015,Karl,Verkafólk,2200
2016,Karl,Verkafólk,2400
2017,Karl,Verkafólk,2550
2018,Karl,Verkafólk,2590
2019,Karl,Verkafólk,2750
2020,Karl,Verkafólk,3020
2021,Karl,Verkafólk,3180
2022,Karl,Verkafólk,3470
2008,Kona,Verkafólk,1190
2009,Kona,Verkafólk,1270
2010,Kona,Verkafólk,1380
2011,Kona,Verkafólk,1510
2012,Kona,Verkafólk,1530
2013,Kona,Verkafólk,1660
2014,Kona,Verkafólk,1760
2015,Kona,Verkafólk,1900
2016,Kona,Verkafólk,2140
2017,Kona,Verkafólk,2250
2018,Kona,Verkafólk,2250
2019,Kona,Verkafólk,2380
2020,Kona,Verkafólk,2660
2021,Kona,Verkafólk,2760
2022,Kona,Verkafólk,2990
