Year,Value
2000,0.22
2002,0.22
2003,0.22
2004,0.22
2005,0.25
2006,0.27
2007,0.29
2008,0.31
2009,0.34
2010,0.36
2011,0.38
2012,0.4
2013,0.4
2014,0.37
2015,0.38
2016,0.35
2017,0.39
2018,0.39
2019,0.39
2020,0.39
