Year,Value
2008,100.0
2009,96.3
2010,84.1
2011,77.7
2012,84.8
2013,88.0
2014,91.6
2015,96.6
2016,105.1
2017,115.9
2018,119.0
2019,132.1
2020,134.8
2021,146.1
2022,158.4
