Year,Value
1998,82.81542066
1999,86.93826921
2000,87.79910742
2001,82.33812484
2002,79.05642639
2003,79.71239046
2004,85.25455618
2005,95.42335561
2006,98.69124952
2007,95.24157694
2008,63.46843603
2009,65.94708333
2010,67.75611312
2011,75.37686115
2012,77.60499189
2013,81.41090629
2014,80.97918057
2015,80.82742392
2016,108.2873137
2017,83.60919956
2018,83.1424995
2019,80.43764439
2020,71.42340768
2021,71.20475891
