Year,Value
1990,66.81
1991,68.09
1992,66.38
1993,67.13
1994,67.09
1995,67.08
1996,66.88
1997,66.98
1998,68.55
1999,71.88
2000,72.35
2001,74.49
2002,74.22
2003,74.59
2004,73.03
2005,74.09
2006,77.58
2007,80.06
2008,83.61
2009,85.39
2010,85.67
2011,85.84
2012,86.83
2013,86.21
2014,86.23
2015,84.34
2016,82.42
2017,81.59
2018,82.05
2019,83.74
2020,89.66
