Year,Value
2010,-0.36
2011,0.1
2012,0.16
2013,0.06
2014,-0.48
2015,0.37
2016,-0.32
2017,-1.1
2018,0.14
2019,0.22
2020,0.79
2021,-0.5
2022,-0.19
2023,0.99
