Year,Value
2009,3.5
2010,3.4
2011,3.7
2012,4.2
2013,4.7
2014,5.5
2015,6.5
2016,8.2
2017,8.0
2018,8.1
2019,8.1
2020,2.8
2021,3.9
2022,6.1
